 99 01 22 15    -13.7    -12.2    -13.3    -15.7    -13.9 
 99 01 22 23     -4.0     -5.6     -7.2    -10.9    -10.0 
 99 01 22 02     -9.0     -9.4    -11.1    -14.4    -13.3 
 99 01 22 20     -3.9     -3.3     -9.4     -8.9    -10.6 
 99 01 22 13    -12.1    -11.1    -13.3    -15.4    -13.9 
 99 01 22 06     -9.1     -9.4    -11.1    -14.4    -13.3 
 99 01 22 05     -9.0     -9.4    -11.1    -14.5    -13.3 
 99 01 22 11     -9.6    -10.0    -11.7    -15.0    -13.9 
 99 01 22 04     -9.1     -9.4    -11.1    -14.4    -13.3 
 99 01 22 00     -8.1     -8.9    -10.6    -13.8    -12.8 
 99 01 22 07     -9.1    -10.0    -11.1    -14.4    -13.3 
 99 01 22 10     -9.3    -10.0    -11.7    -14.8    -13.3 
 99 01 22 03     -9.1     -9.4    -11.1    -14.4    -13.3 
 99 01 23 18     -2.3     -1.7     -4.4     -7.9     -7.8 
 99 01 23 14     -4.6     -3.3     -5.0     -9.2     -8.3 
 99 01 23 13     -4.7     -3.3     -5.6     -9.6     -8.9 
 99 01 23 01     -7.5     -8.3     -9.4    -11.5    -11.1 
 99 01 23 04     -6.9     -6.1     -6.7     -8.8     -7.8 
 99 01 23 17     -2.9     -1.7     -4.4     -7.3     -8.3 
 99 01 23 10     -3.9     -3.3     -5.0     -8.1     -7.8 
 99 01 23 00     -5.9     -7.2     -8.3    -11.6    -10.6 
 99 01 23 21      2.3      3.3     -1.7     -5.9     -4.4 
 99 01 23 15     -4.4     -3.9     -5.0     -8.8     -8.3 
 99 01 23 03     -7.5     -7.8     -8.3     -9.4     -8.9 
 99 01 23 12     -4.8     -3.9     -5.0     -8.7     -8.3 
 99 01 23 08     -4.7     -5.0     -5.6     -8.7     -8.3 
 99 01 23 06     -5.3     -5.0     -6.1     -8.8     -7.8 
 99 01 23 20      3.7      1.1     -2.2     -5.9     -5.0 
 99 01 23 05     -5.9     -5.0     -6.1     -8.8     -7.8 
 99 01 23 22      0.7      0.6     -2.8     -6.3     -5.0 
 99 01 23 23      0.4      0.0     -2.8     -6.1     -5.0 
 99 01 23 07     -4.8     -5.0     -5.6     -8.8     -7.8 
 99 01 23 16     -4.2     -3.3     -4.4     -7.7     -8.3 
 99 01 23 11     -4.1     -3.3     -4.4     -8.2     -7.8 
 99 01 23 02     -7.7     -7.8     -9.4    -10.4    -10.6 
 99 01 23 19      0.7      0.6     -3.3     -7.1     -6.7 
 99 01 23 09     -4.6     -4.4     -5.6     -8.7     -7.8 
 99 01 24 07     -6.2     -6.7     -8.3     -9.9    -10.0 
 99 01 24 00     -2.2     -3.3     -3.3     -6.5     -5.0 
 99 01 24 15     -7.5     -8.3     -9.4     -9.8    -10.6 
